name,species,gender,house,dateOfBirth,yearOfBirth,ancestry,eyeColour,hairColour,wand,patronus,hogwartsStudent,hogwartsStaff,actor,alive,image
Harry Potter,human,male,Gryffindor,31-07-1980,1980,half-blood,green,black,"{'wood': 'holly', 'core': 'phoenix feather', 'length': 11}",stag,TRUE,FALSE,Daniel Radcliffe,TRUE,http://hp-api.herokuapp.com/images/harry.jpg
Hermione Granger,human,female,Gryffindor,19-09-1979,1979,muggleborn,brown,brown,"{'wood': 'vine', 'core': 'dragon heartstring', 'length': ''}",otter,TRUE,FALSE,Emma Watson,TRUE,http://hp-api.herokuapp.com/images/hermione.jpeg
Ron Weasley,human,male,Gryffindor,1/3/1980,1980,pure-blood,blue,red,"{'wood': 'willow', 'core': 'unicorn tail-hair', 'length': 14}",Jack Russell terrier,TRUE,FALSE,Rupert Grint,TRUE,http://hp-api.herokuapp.com/images/ron.jpg
Draco Malfoy,human,male,Slytherin,5/6/1980,1980,pure-blood,grey,blonde,"{'wood': 'hawthorn', 'core': 'unicorn tail-hair', 'length': 10}",Unknown,TRUE,FALSE,Tom Felton,TRUE,http://hp-api.herokuapp.com/images/draco.jpg
Minerva McGonagall,human,female,Gryffindor,4/10/1925,1925,Unknown,Unknown,black,"{'wood': '', 'core': '', 'length': ''}",tabby cat,FALSE,TRUE,Dame Maggie Smith,TRUE,http://hp-api.herokuapp.com/images/mcgonagall.jpg
Cedric Diggory,human,male,Hufflepuff,Unknown,1977,Unknown,grey,brown,"{'wood': 'ash', 'core': 'unicorn hair', 'length': 12.25}",Unknown,TRUE,FALSE,Robert Pattinson,FALSE,http://hp-api.herokuapp.com/images/cedric.png
Cho Chang,human,female,Ravenclaw,Unknown,Unknown,Unknown,brown,black,"{'wood': '', 'core': '', 'length': ''}",swan,TRUE,FALSE,Katie Leung,TRUE,http://hp-api.herokuapp.com/images/cho.jpg
Severus Snape,human,male,Slytherin,9/1/1960,1960,half-blood,black,black,"{'wood': '', 'core': '', 'length': ''}",doe,FALSE,TRUE,Alan Rickman,FALSE,http://hp-api.herokuapp.com/images/snape.jpg
Rubeus Hagrid,half-giant,male,Gryffindor,6/12/1928,1928,half-blood,black,black,"{'wood': 'oak', 'core': '', 'length': 16}",Unknown,FALSE,TRUE,Robbie Coltrane,TRUE,http://hp-api.herokuapp.com/images/hagrid.png
Neville Longbottom,human,male,Gryffindor,30-07-1980,1980,pure-blood,Unknown,blonde,"{'wood': 'cherry', 'core': 'unicorn tail-hair', 'length': 13}",Unknown,TRUE,FALSE,Matthew Lewis,TRUE,http://hp-api.herokuapp.com/images/neville.jpg
Luna Lovegood,human,female,Ravenclaw,13-02-1981,1981,Unknown,grey,blonde,"{'wood': '', 'core': '', 'length': ''}",hare,TRUE,FALSE,Evanna Lynch,TRUE,http://hp-api.herokuapp.com/images/luna.jpg
Ginny Weasley,human,female,Gryffindor,11/8/1981,1981,pure-blood,brown,red,"{'wood': 'yew', 'core': '', 'length': ''}",horse,TRUE,FALSE,Bonnie Wright,TRUE,http://hp-api.herokuapp.com/images/ginny.jpg
Sirius Black,human,male,Gryffindor,3/11/1959,1959,pure-blood,grey,black,"{'wood': '', 'core': '', 'length': ''}",hare,FALSE,FALSE,Gary Oldman,FALSE,http://hp-api.herokuapp.com/images/sirius.JPG
Remus Lupin,werewolf,male,Gryffindor,10/3/1960,1960,half-blood,green,brown,"{'wood': 'cypress', 'core': 'unicorn tail-hair', 'length': 10.25}",wolf,FALSE,TRUE,David Thewlis,FALSE,http://hp-api.herokuapp.com/images/lupin.jpg
Arthur Weasley,human,male,Gryffindor,6/2/1950,1950,pure-blood,blue,red,"{'wood': '', 'core': '', 'length': ''}",weasel,FALSE,FALSE,Mark Williams,TRUE,http://hp-api.herokuapp.com/images/arthur.jpg
Bellatrix Lestrange,human,female,Slytherin,Unknown,1951,pure-blood,brown,black,"{'wood': 'walnut', 'core': 'dragon heartstring', 'length': 12.75}",Unknown,FALSE,FALSE,Helena Bonham Carter,FALSE,http://hp-api.herokuapp.com/images/bellatrix.jpg
Lord Voldemort,human,male,Slytherin,31-12-1926,1926,half-blood,red,bald,"{'wood': 'yew', 'core': 'phoenix feather', 'length': 13.5}",Unknown,FALSE,FALSE,Ralph Fiennes,FALSE,http://hp-api.herokuapp.com/images/voldemort.jpg
Horace Slughorn,human,male,Slytherin,Unknown,Unknown,pure-blood,green,blonde,"{'wood': 'cedar', 'core': 'dragon heartstring', 'length': 10.25}",Unknown,FALSE,TRUE,Jim Broadbent,TRUE,http://hp-api.herokuapp.com/images/slughorn.JPG
Kingsley Shacklebolt,human,male,Unknown,Unknown,Unknown,pure-blood,brown,brown,"{'wood': '', 'core': '', 'length': ''}",lynx,FALSE,FALSE,George Harris,TRUE,http://hp-api.herokuapp.com/images/kingsley.jpg
Dolores Umbridge,human,female,Slytherin,Unknown,Unknown,half-blood,brown,grey,"{'wood': 'birch', 'core': 'dragon heartstring', 'length': 8}",persian cat,FALSE,TRUE,Imelda Staunton,TRUE,http://hp-api.herokuapp.com/images/umbridge.jpg
Lucius Malfoy,human,male,Slytherin,Unknown,1954,pure-blood,grey,blonde,"{'wood': 'elm', 'core': 'dragon heartstring', 'length': 18}",Unknown,FALSE,FALSE,Jason Isaacs,TRUE,http://hp-api.herokuapp.com/images/lucius.jpg
Vincent Crabbe,human,male,Slytherin,Unknown,Unknown,pure-blood,black,black,"{'wood': '', 'core': '', 'length': ''}",Unknown,TRUE,FALSE,Jamie Waylett,FALSE,http://hp-api.herokuapp.com/images/crabbe.jpg
Gregory Goyle,human,male,Slytherin,Unknown,Unknown,pure-blood,Unknown,brown,"{'wood': '', 'core': '', 'length': ''}",Unknown,TRUE,FALSE,Josh Herdman,TRUE,http://hp-api.herokuapp.com/images/goyle.jpg
Mrs Norris,cat,female,Unknown,Unknown,Unknown,Unknown,yellow,brown,"{'wood': '', 'core': '', 'length': ''}",Unknown,FALSE,TRUE,"Maxime, Alanis and Tommy the cats",TRUE,http://hp-api.herokuapp.com/images/norris.JPG
Argus Filch,human,male,Unknown,Unknown,Unknown,squib,Unknown,grey,"{'wood': '', 'core': '', 'length': ''}",Unknown,FALSE,TRUE,David Bradley,TRUE,http://hp-api.herokuapp.com/images/filch.jpg
