name,rating,genre,year,score,director,writer,star,budget,gross,runtime
The Shining,R,Drama,1980,8.4,Stanley Kubrick,Stephen King,Jack Nicholson,19000000,46998772,146
The Blue Lagoon,R,Adventure,1980,5.8,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,4500000,58853106,104
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,Irvin Kershner,Leigh Brackett,Mark Hamill,18000000,538375067,124
Airplane!,PG,Comedy,1980,7.7,Jim Abrahams,Jim Abrahams,Robert Hays,3500000,83453539,88
Caddyshack,R,Comedy,1980,7.3,Harold Ramis,Brian Doyle-Murray,Chevy Chase,6000000,39846344,98
Friday the 13th,R,Horror,1980,6.4,Sean S. Cunningham,Victor Miller,Betsy Palmer,550000,39754601,95
The Blues Brothers,R,Action,1980,7.9,John Landis,Dan Aykroyd,John Belushi,27000000,115229890,133
Raging Bull,R,Biography,1980,8.2,Martin Scorsese,Jake LaMotta,Robert De Niro,18000000,23402427,129
Superman II,PG,Action,1980,6.8,Richard Lester,Jerry Siegel,Gene Hackman,54000000,108185706,127
The Long Riders,R,Biography,1980,7,Walter Hill,Bill Bryden,David Carradine,10000000,15795189,100
Any Which Way You Can,PG,Action,1980,6.1,Buddy Van Horn,Stanford Sherman,Clint Eastwood,15000000,70687344,116
The Gods Must Be Crazy,PG,Adventure,1980,7.3,Jamie Uys,Jamie Uys,N!xau,5000000,30031783,109
Popeye,PG,Adventure,1980,5.3,Robert Altman,Jules Feiffer,Robin Williams,20000000,49823037,114
Ordinary People,R,Drama,1980,7.7,Robert Redford,Judith Guest,Donald Sutherland,6000000,54766923,124
Dressed to Kill,R,Crime,1980,7.1,Brian De Palma,Brian De Palma,Michael Caine,6500000,31899000,104
Somewhere in Time,PG,Drama,1980,7.2,Jeannot Szwarc,Richard Matheson,Christopher Reeve,5100000,9709597,103
Fame,R,Drama,1980,6.6,Alan Parker,Christopher Gore,Eddie Barth,,21202829,134
9 to 5,PG,Comedy,1980,6.9,Colin Higgins,Patricia Resnick,Jane Fonda,10000000,103300686,109
The Fog,R,Horror,1980,6.8,John Carpenter,John Carpenter,Adrienne Barbeau,1000000,21448782,89
Stir Crazy,R,Comedy,1980,6.8,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,,101300000,111
Cruising,R,Crime,1980,6.5,William Friedkin,William Friedkin,Al Pacino,11000000,19814523,102
Heaven's Gate,R,Adventure,1980,6.8,Michael Cimino,Michael Cimino,Kris Kristofferson,44000000,3484523,219
The Final Countdown,PG,Action,1980,6.7,Don Taylor,Thomas Hunter,Kirk Douglas,12000000,16647800,103
Xanadu,PG,Fantasy,1980,5.3,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,20000000,22762571,96
Urban Cowboy,PG,Drama,1980,6.4,James Bridges,Aaron Latham,John Travolta,,46918287,132
Altered States,R,Horror,1980,6.9,Ken Russell,Paddy Chayefsky,William Hurt,,19853892,102
Little Darlings,R,Comedy,1980,6.5,Ron Maxwell,Kimi Peck,Tatum O'Neal,,34326249,96
Raise the Titanic,PG,Action,1980,5,Jerry Jameson,Adam Kennedy,Jason Robards,36000000,,115
Brubaker,R,Crime,1980,7.2,Stuart Rosenberg,W.D. Richter,Robert Redford,9000000,37121708,131
American Gigolo,R,Crime,1980,6.2,Paul Schrader,Paul Schrader,Richard Gere,4800000,22743674,117
My Bodyguard,PG,Comedy,1980,7.1,Tony Bill,Alan Ormsby,Chris Makepeace,,22482952,102
Prom Night,R,Horror,1980,5.4,Paul Lynch,William Gray,Leslie Nielsen,,14796236,92
